timestamp,value,__name__,condition,instance,job,namespace,pod,uid
1780611291,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611306,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611321,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611336,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611351,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611366,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611381,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611396,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611411,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611426,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611441,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611456,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611471,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611486,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611501,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611516,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611531,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611546,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611561,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611576,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611591,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611606,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611621,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611636,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
1780611651,0,kube_pod_status_ready,false,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,adservice-64dd5464b8-75dzr,187940fe-085c-49fa-8e70-566b8297dee8
